ID,Name,Score
1,Name3884,45.80
2,Name1314,21.24
3,Name3099,20.90
4,Name5983,24.40
5,Name2674,33.24
6,Name3546,63.87
7,Name8210,8.64
8,Name9954,98.34
9,Name2237,95.74
10,Name1843,27.48
11,Name283,42.14
12,Name7780,66.90
13,Name6170,39.10
14,Name2642,83.31
15,Name5859,27.67
16,Name7857,28.14
17,Name455,50.60
18,Name5107,28.15
19,Name2656,17.05
20,Name8658,38.43
21,Name4909,76.63
22,Name5008,74.09
23,Name3423,29.52
24,Name2358,37.55
25,Name9776,98.50
26,Name517,86.02
27,Name2642,16.95
28,Name9846,4.59
29,Name3837,96.02
30,Name1576,75.49
31,Name8464,36.34
32,Name5786,0.12
33,Name2904,14.04
34,Name7886,56.75
35,Name1953,81.49
36,Name9071,88.80
37,Name2200,66.58
38,Name8768,64.70
39,Name3228,40.77
40,Name2130,34.40
41,Name1288,32.00
42,Name4932,50.76
43,Name1959,61.69
44,Name4399,43.25
45,Name7732,4.93
46,Name9744,20.01
47,Name2610,42.58
48,Name1899,28.92
49,Name4805,91.50
50,Name4881,75.21
51,Name105,43.37
52,Name9144,27.75
53,Name1810,18.85
54,Name6097,46.16
55,Name9420,21.86
56,Name7279,10.21
57,Name6380,99.93
58,Name5102,25.75
59,Name1380,0.34
60,Name8128,77.92
61,Name2958,66.48
62,Name6111,11.10
63,Name5181,45.02
64,Name6621,78.54
65,Name6854,87.99
66,Name3417,74.82
67,Name7202,72.42
68,Name3262,4.52
69,Name3180,7.07
70,Name9959,18.62
71,Name7026,62.74
72,Name2262,7.65
73,Name2437,83.10
74,Name3407,1.87
75,Name1414,69.56
76,Name4187,73.63
77,Name8299,80.97
78,Name7321,89.10
79,Name3443,32.47
80,Name1723,72.84
81,Name7988,19.77
82,Name9587,32.15
83,Name8218,67.55
84,Name8770,71.65
85,Name7348,1.22
86,Name4679,39.44
87,Name4194,79.44
88,Name4257,37.65
89,Name121,30.05
90,Name5510,92.97
91,Name1607,85.73
92,Name65,60.07
93,Name9690,69.60
94,Name1349,44.70
95,Name8793,2.29
96,Name1373,91.08
97,Name9796,17.04
98,Name8461,61.16
99,Name1995,20.51
100,Name5958,73.66
101,Name4506,43.74
102,Name3129,26.67
103,Name9007,29.96
104,Name8185,86.73
105,Name640,8.10
106,Name6639,61.77
107,Name6339,51.57
108,Name7939,10.16
109,Name7963,80.55
110,Name2697,49.69
111,Name7122,46.76
112,Name8365,90.90
113,Name8223,12.66
114,Name4581,86.27
115,Name8562,40.15
116,Name2188,1.99
117,Name6014,64.18
118,Name1616,10.68
119,Name1885,22.30
120,Name2807,99.93
121,Name7409,72.20
122,Name5209,28.98
123,Name646,0.62
124,Name4788,48.75
125,Name9069,93.83
126,Name457,88.79
127,Name9042,11.88
128,Name5861,36.24
129,Name2413,86.77
130,Name2855,92.10
131,Name6632,47.70
132,Name6420,25.36
133,Name5551,58.71
134,Name8834,71.04
135,Name7167,31.29
136,Name55,79.59
137,Name4933,34.03
138,Name1088,83.97
139,Name3339,2.29
140,Name6677,63.00
141,Name2257,63.18
142,Name6443,92.05
143,Name2476,57.81
144,Name6862,33.26
145,Name7204,62.22
146,Name5219,30.88
147,Name7051,78.73
148,Name8353,29.33
149,Name268,85.55
150,Name3013,20.72
151,Name25,66.21
152,Name4304,65.24
153,Name8673,38.78
154,Name7027,40.29
155,Name3406,75.82
156,Name4310,10.99
157,Name9876,59.09
158,Name5573,92.63
159,Name1299,75.27
160,Name882,1.79
161,Name9213,70.79
162,Name6308,93.22
163,Name4356,52.33
164,Name2516,24.24
165,Name9254,52.55
166,Name2351,24.75
167,Name3870,55.85
168,Name5596,84.76
169,Name3823,82.03
170,Name3198,4.49
171,Name9721,86.07
172,Name5403,49.92
173,Name9768,1.32
174,Name7403,59.41
175,Name1275,37.24
176,Name9961,35.02
177,Name3870,35.08
178,Name6985,73.32
179,Name5681,92.96
180,Name4990,5.41
181,Name2123,98.16
182,Name7540,65.46
183,Name818,42.81
184,Name2629,92.15
185,Name6118,24.10
186,Name591,51.58
187,Name3514,19.12
188,Name4531,30.53
189,Name8427,94.72
190,Name8501,79.10
191,Name6216,90.12
192,Name8974,25.36
193,Name3295,36.01
194,Name8895,84.25
195,Name3692,15.68
196,Name4801,74.54
197,Name9452,91.76
198,Name4363,91.35
199,Name5161,3.98
200,Name517,32.05
201,Name3484,84.42
202,Name9637,25.46
203,Name2043,60.93
204,Name8674,29.08
205,Name3132,6.99
206,Name6231,87.45
207,Name3789,13.86
208,Name6075,58.98
209,Name9048,60.81
210,Name7315,4.34
211,Name146,10.14
212,Name5135,56.44
213,Name3462,4.80
214,Name4025,11.82
215,Name8437,38.82
216,Name2612,96.30
217,Name7834,23.20
218,Name4315,7.64
219,Name4631,26.87
220,Name2807,13.47
221,Name4013,52.13
222,Name7238,74.19
223,Name2893,5.17
224,Name3575,6.91
225,Name2832,51.50
226,Name5171,60.40
227,Name9404,84.01
228,Name4473,69.94
229,Name8732,28.63
230,Name2915,24.70
231,Name6250,92.33
232,Name7805,62.74
233,Name7862,42.89
234,Name9153,22.75
235,Name5803,15.34
236,Name8293,64.97
237,Name2394,68.04
238,Name8568,11.27
239,Name6812,63.20
240,Name5182,65.39
241,Name6687,98.70
242,Name5661,78.78
243,Name9496,51.23
244,Name6512,37.03
245,Name8682,40.42
246,Name7775,88.85
247,Name7244,4.51
248,Name6424,31.54
249,Name6570,66.84
250,Name8210,74.04
251,Name7665,83.46
252,Name254,2.02
253,Name134,2.27
254,Name1107,79.04
255,Name5502,81.95
256,Name745,23.18
257,Name2285,50.78
258,Name6430,59.93
259,Name6351,75.91
260,Name7014,39.19
261,Name4050,43.26
262,Name9523,78.85
263,Name4191,3.06
264,Name1248,99.20
265,Name1595,77.62
266,Name7310,27.31
267,Name5,67.86
268,Name1186,77.59
269,Name3374,44.22
270,Name3101,89.97
271,Name726,78.74
272,Name864,58.60
273,Name5008,33.15
274,Name5251,57.56
275,Name1567,7.07
276,Name284,54.87
277,Name658,31.54
278,Name8259,83.88
279,Name1573,81.20
280,Name9773,35.55
281,Name2274,22.33
282,Name2192,86.68
283,Name9107,98.67
284,Name8851,46.58
285,Name2786,67.82
286,Name3625,34.53
287,Name7080,12.99
288,Name5166,94.07
289,Name48,97.73
290,Name2106,68.05
291,Name5618,65.08
292,Name533,37.27
293,Name6651,57.94
294,Name1014,38.01
295,Name1187,27.24
296,Name4186,53.96
297,Name2133,17.45
298,Name7432,30.37
299,Name6647,79.72
300,Name3859,24.81
301,Name5699,73.05
302,Name63,98.82
303,Name4566,74.71
304,Name9340,60.72
305,Name597,47.48
306,Name6737,61.06
307,Name7876,65.16
308,Name7233,16.06
309,Name1739,3.02
310,Name2544,93.79
311,Name2779,97.97
312,Name3232,89.89
313,Name3757,10.52
314,Name2513,0.15
315,Name8794,32.96
316,Name7747,85.93
317,Name3726,40.19
318,Name6676,28.53
319,Name421,46.78
320,Name6708,51.05
321,Name8006,5.90
322,Name5557,7.23
323,Name833,88.53
324,Name6146,32.44
325,Name6914,73.76
326,Name1064,76.57
327,Name8866,52.34
328,Name5320,28.25
329,Name5489,81.12
330,Name5243,62.46
331,Name4938,30.27
332,Name1509,67.96
333,Name3269,35.41
334,Name2045,38.99
335,Name8232,70.63
336,Name47,62.16
337,Name4315,26.38
338,Name2595,83.75
339,Name6035,36.78
340,Name4121,41.18
341,Name7120,82.04
342,Name8339,81.30
343,Name5962,87.50
344,Name9708,44.50
345,Name6841,88.68
346,Name1794,84.90
347,Name2562,60.56
348,Name1658,85.67
349,Name2550,31.25
350,Name2415,95.64
351,Name2499,69.29
352,Name9622,57.43
353,Name3867,61.45
354,Name3578,63.75
355,Name2167,30.05
356,Name7640,38.85
357,Name3508,79.44
358,Name8406,99.22
359,Name2248,43.87
360,Name565,49.99
361,Name7676,99.37
362,Name4307,96.24
363,Name5053,5.30
364,Name3844,70.58
365,Name6960,30.92
366,Name8768,14.88
367,Name2713,7.37
368,Name6867,99.23
369,Name6494,36.72
370,Name8950,20.24
371,Name4344,34.43
372,Name321,2.07
373,Name5133,49.32
374,Name2919,86.37
375,Name8559,71.03
376,Name8941,56.66
377,Name5265,49.55
378,Name4477,23.30
379,Name7031,20.53
380,Name5764,84.82
381,Name7396,9.82
382,Name1895,59.55
383,Name573,92.15
384,Name5824,30.62
385,Name2699,99.51
386,Name8533,0.62
387,Name2417,29.26
388,Name9540,44.91
389,Name5708,82.52
390,Name2716,11.11
391,Name4545,71.23
392,Name1965,1.24
393,Name7872,28.27
394,Name3276,23.24
395,Name5786,48.31
396,Name956,80.43
397,Name2465,13.12
398,Name4167,29.00
